dataset,run_dir,model,threshold,control_rounds,target_rounds,false_positive_rate,true_positive_rate,target_proposed_mean,target_executed_residual_mean,target_prevented_mean,target_prevented_fraction,observed_online_proposed_mean,observed_online_executed_mean,observed_online_prevented_mean,mean_recorded_prevented_per_round
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,0.0,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,0.25,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,0.5,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,0.75,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1.0,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1.25,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1.5,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1.75,100,50,0.02,1.0,376.1,0.0,376.1,1.0,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,2.0,100,50,0.0,0.98,376.1,0.1,376.0,0.9997282608695652,376.1,0.1,376.0,25.066666666666666
gfp,runs/20260530T140600Z_b37-gfp-online-quarantine-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,2.5,100,50,0.0,0.98,376.1,0.1,376.0,0.9997282608695652,376.1,0.1,376.0,25.066666666666666
