case_id,family,domain,policy,coherence_fraction,coherent_pair_count,total_pair_count,target_count,target_prevalence,budget,outcome_scale,donor_target_contrast,standardized_contrast,mechanism_risk_score,swap_count_score,coherent_count_score,final_target_count,final_excess_count,budget_fraction_excess,target_capacity_fraction_excess,prevalence_normalized_budget_excess,include_in_global_fit,source_summary_csv,source_pair_csv,source_note,family_max_target_capacity_fraction_excess,family_normalized_excess,family_susceptibility
b48_materials_coherence_000_mlp,b48_materials_coherence,materials,mlp_top_mean,0.0,0,25,113,0.024543874891398785,250.0,1.4448773868882805,0.0,0.0,0.0,0.4703604341917987,0.0,0.0,0.0,0.0,0.0,0.0,True,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/summary_by_model_coherence.csv,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/relinking_map.csv,"B48 fixed-swap materials coherence sweep, coherence 0.",0.13274336283185842,0.0,0.0
b48_materials_coherence_025_mlp,b48_materials_coherence,materials,mlp_top_mean,0.25,6,25,113,0.024543874891398785,250.0,1.4448773868882805,10.731666666666667,7.4273891778309435,0.427870744373058,0.4703604341917987,0.23042861179277058,4.2,4.2,0.016800000000000002,0.03716814159292035,0.6844884955752213,True,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/summary_by_model_coherence.csv,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/relinking_map.csv,"B48 fixed-swap materials coherence sweep, coherence 0.25.",0.13274336283185842,0.27999999999999997,0.08686768628544903
b48_materials_coherence_050_mlp,b48_materials_coherence,materials,mlp_top_mean,0.5,12,25,113,0.024543874891398785,250.0,1.4448773868882805,10.003333333333334,6.923309496092766,1.128067668591263,0.4703604341917987,0.325875267956141,8.9,8.9,0.0356,0.07876106194690266,1.4504637168141592,True,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/summary_by_model_coherence.csv,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/relinking_map.csv,"B48 fixed-swap materials coherence sweep, coherence 0.50.",0.13274336283185842,0.5933333333333333,0.06981944801703244
b48_materials_coherence_075_mlp,b48_materials_coherence,materials,mlp_top_mean,0.75,19,25,113,0.024543874891398785,250.0,1.4448773868882805,9.04684210526316,6.261321678475872,1.9255945965092804,0.4703604341917987,0.41005071993639275,12.4,12.4,0.0496,0.10973451327433628,2.020870796460177,True,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/summary_by_model_coherence.csv,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/relinking_map.csv,"B48 fixed-swap materials coherence sweep, coherence 0.75.",0.13274336283185842,0.8266666666666665,0.056987339636942844
b48_materials_coherence_100_mlp,b48_materials_coherence,materials,mlp_top_mean,1.0,25,25,113,0.024543874891398785,250.0,1.4448773868882805,8.54,5.910536130952904,2.780082340861322,0.4703604341917987,0.4703604341917987,15.0,15.0,0.06,0.13274336283185842,2.4446017699115044,True,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/summary_by_model_coherence.csv,runs/20260530T170338Z_b48-materials-coherence-sweep-mlp-10seed-80ep-20260530/relinking_map.csv,"B48 fixed-swap materials coherence sweep, coherence 1.0.",0.13274336283185842,1.0,0.047747996841968364
b77_gfp_coherence_000_mlp,b77_gfp_coherence,gfp,mlp_top_mean,0.0,0,25,240,0.005268,500.0,1.05856372167912,0.0,0.0,0.0,0.3227486121839514,0.0,0.1,0.0,0.0,0.0,0.0,True,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/summary_by_model_coherence.csv,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/relinking_map.csv,"B77 fixed-swap GFP coherence sweep, coherence 0.",0.19583333333333333,0.0,0.0
b77_gfp_coherence_025_mlp,b77_gfp_coherence,gfp,mlp_top_mean,0.25,6,25,240,0.005268,500.0,1.05856372167912,2.8207517276083336,2.6646971456134803,0.10533140318359945,0.3227486121839514,0.15811388300841897,0.5,0.4,0.0008,0.0016666666666666668,0.15186028853454822,True,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/summary_by_model_coherence.csv,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/relinking_map.csv,"B77 fixed-swap GFP coherence sweep, coherence 0.25.",0.19583333333333333,0.00851063829787234,0.015823074755413245
b77_gfp_coherence_050_mlp,b77_gfp_coherence,gfp,mlp_top_mean,0.5,12,25,240,0.005268,500.0,1.05856372167912,2.8068243945525,2.651540324941654,0.29645122058257095,0.3227486121839514,0.22360679774997896,4.8,4.7,0.0094,0.019583333333333335,1.7843583902809417,True,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/summary_by_model_coherence.csv,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/relinking_map.csv,"B77 fixed-swap GFP coherence sweep, coherence 0.50.",0.19583333333333333,0.1,0.06605920965631094
b77_gfp_coherence_075_mlp,b77_gfp_coherence,gfp,mlp_top_mean,0.75,19,25,240,0.005268,500.0,1.05856372167912,2.7878288416673684,2.6335956774007383,0.5557526519177055,0.3227486121839514,0.2813657169355689,29.8,29.7,0.0594,0.12375,11.275626423690206,True,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/summary_by_model_coherence.csv,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/relinking_map.csv,"B77 fixed-swap GFP coherence sweep, coherence 0.75.",0.19583333333333333,0.6319148936170212,0.22267100223990402
b77_gfp_coherence_100_mlp,b77_gfp_coherence,gfp,mlp_top_mean,1.0,25,25,240,0.005268,500.0,1.05856372167912,2.7743162385775997,2.620830642275281,0.845869452563521,0.3227486121839514,0.3227486121839514,47.1,47.0,0.094,0.19583333333333333,17.843583902809414,True,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/summary_by_model_coherence.csv,runs/20260531T013604Z_b77-gfp-coherence-sweep-mlp-10seed-80ep-20260531/relinking_map.csv,"B77 fixed-swap GFP coherence sweep, coherence 1.0.",0.19583333333333333,1.0,0.2315172072236846
