dataset,seed,mode,screen,history_count,pair_positive_count,target_positive_count,pair_auroc,pair_topk_recall,pair_topk_precision,target_auroc,target_topk_recall,target_topk_precision
GFP B19,0,clean,label_z_extremeness,2098,50,25,0.96935546875,0.76,0.76,0.9897346840328027,0.28,0.28
GFP B19,0,clean,feature_knn_residual,2098,50,25,0.720205078125,0.04,0.04,0.8718958031837916,0.04,0.04
GFP B19,0,random_swap,label_z_extremeness,2098,50,25,0.96935546875,0.76,0.76,0.9897346840328027,0.28,0.28
GFP B19,0,random_swap,feature_knn_residual,2098,50,25,0.717509765625,0.04,0.04,0.8638301977809937,0.04,0.04
GFP B19,0,targeted_swap,label_z_extremeness,2098,50,25,0.96935546875,0.76,0.76,0.9376555716353111,0.68,0.68
GFP B19,0,targeted_swap,feature_knn_residual,2098,50,25,0.763447265625,0.16,0.16,0.5758996623251326,0.0,0.0
GFP B19,1,clean,label_z_extremeness,2098,50,25,0.9489062500000001,0.74,0.74,0.9918186203569705,0.44,0.44
GFP B19,1,clean,feature_knn_residual,2098,50,25,0.731416015625,0.04,0.04,0.8773371924746745,0.04,0.04
GFP B19,1,random_swap,label_z_extremeness,2098,50,25,0.9272363281249999,0.7,0.7,0.9490014471780028,0.4,0.4
GFP B19,1,random_swap,feature_knn_residual,2098,50,25,0.714541015625,0.04,0.04,0.845383502170767,0.04,0.04
GFP B19,1,targeted_swap,label_z_extremeness,2098,50,25,0.9489062500000001,0.74,0.74,0.8951664254703329,0.52,0.52
GFP B19,1,targeted_swap,feature_knn_residual,2098,50,25,0.7673828125,0.14,0.14,0.5825180897250362,0.0,0.0
GFP B19,2,clean,label_z_extremeness,2098,50,25,0.998291015625,0.82,0.82,0.9845634346357935,0.0,0.0
GFP B19,2,clean,feature_knn_residual,2098,50,25,0.708037109375,0.08,0.08,0.8702556681138447,0.12,0.12
GFP B19,2,random_swap,label_z_extremeness,2098,50,25,0.9493261718749999,0.76,0.76,0.9429425952725518,0.0,0.0
GFP B19,2,random_swap,feature_knn_residual,2098,50,25,0.688515625,0.06,0.06,0.8539893873613121,0.08,0.08
GFP B19,2,targeted_swap,label_z_extremeness,2098,50,25,0.998291015625,0.82,0.82,1.0,1.0,1.0
