seed,mode,pairs_used,label_multiset_preserved,final_target_count,final_target_fraction,selected_true_mean,selected_target_true_mean
0,clean,0,True,7,0.035,24.150434210925,20.24211736285714
0,random_swap,100,True,5,0.025,25.553639735925,20.52985292
0,targeted_relink,100,True,95,0.475,12.304475282975,4.6421016987894745
1,clean,0,True,9,0.045,25.168559989025,19.91376768666667
1,random_swap,100,True,14,0.07,21.4521420231,16.89767403535714
1,targeted_relink,100,True,87,0.435,12.815479711399998,4.637401947241379
2,clean,0,True,7,0.035,22.958054310799998,20.242117362857147
2,random_swap,100,True,8,0.04,25.589793763075,19.19408992125
2,targeted_relink,100,True,121,0.605,10.2811821149,4.2499398878099175
3,clean,0,True,12,0.06,22.0083578934,18.229439790416667
3,random_swap,100,True,10,0.05,20.831657682225,18.8185008185
3,targeted_relink,100,True,109,0.545,11.682035211025,4.5469214407339456
4,clean,0,True,6,0.03,26.790912294800002,20.691236978333333
4,random_swap,100,True,11,0.055,22.2826160844,18.586683883181816
4,targeted_relink,100,True,118,0.59,10.65954033105,4.220609738135593
5,clean,0,True,6,0.03,25.603532297075,20.691236978333333
5,random_swap,100,True,12,0.06,23.031016159225,18.229439790416667
5,targeted_relink,100,True,92,0.46,12.5304319611,4.409437603152174
6,clean,0,True,7,0.035,25.46091493855,20.242117362857147
6,random_swap,100,True,8,0.04,26.846707870724998,20.1819621725
6,targeted_relink,100,True,87,0.435,14.216942637325001,4.9810315802873575
7,clean,0,True,12,0.06,23.599985339575,18.229439790416667
7,random_swap,100,True,12,0.06,22.3413838252,17.569955260833336
7,targeted_relink,100,True,87,0.435,13.501291677025002,5.433436946494253
8,clean,0,True,11,0.055,23.24174897295,18.586683883181816
8,random_swap,100,True,12,0.06,23.146608030924998,18.229439790416667
8,targeted_relink,100,True,86,0.43,12.893875212000003,5.018328387093024
9,clean,0,True,6,0.03,26.579105117950004,20.691236978333333
9,random_swap,100,True,13,0.065,21.499171847300005,17.318401376923077
9,targeted_relink,100,True,108,0.54,12.12383367095,4.788772306527777
