seed,mode,round,pairs_used,label_multiset_preserved,batch_target_count,batch_target_fraction,batch_true_mean,batch_target_true_mean,candidate_target_count,mean_score_target,mean_score_non_target
0,clean,0,0,True,6,0.15,20.534181775125,20.691236978333333,839,4.983203101800621,10.775946298740672
0,clean,1,0,True,1,0.025,19.838888386,17.54739967,833,4.849394587036651,10.564327861893181
0,clean,2,0,True,0,0.0,24.574443393,,832,4.835962788708825,10.253788388560276
0,clean,3,0,True,0,0.0,33.770111253124995,,832,4.840019664865914,10.909811567833502
0,clean,4,0,True,0,0.0,22.034546247375,,832,4.878210157647052,11.700033712101254
0,random_swap,0,100,True,4,0.1,20.298953223375,19.496894745,839,5.495349681655018,10.492191900718836
0,random_swap,1,100,True,1,0.025,18.780359423375,24.66168562,835,5.534260641284029,10.845640221885898
0,random_swap,2,100,True,0,0.0,29.546117091375002,,834,5.4207487610136305,10.487769411631216
0,random_swap,3,100,True,0,0.0,30.622538871,,834,5.45231533439404,11.452282135372467
0,random_swap,4,100,True,0,0.0,28.520230070500002,,834,5.469859891060442,11.492183407225347
0,targeted_relink,0,100,True,40,1.0,2.1296857281249997,2.1296857281249997,839,14.676091261782004,9.856515813991635
0,targeted_relink,1,100,True,24,0.6,12.28939034825,7.484692301666668,799,7.208332927597288,9.655214474948776
0,targeted_relink,2,100,True,19,0.475,13.988561386375,5.74791750868421,775,5.409241964097089,7.716573213682077
0,targeted_relink,3,100,True,11,0.275,16.1731389,5.3959894136363635,756,3.966558908207435,6.6480909791711
0,targeted_relink,4,100,True,1,0.025,16.941600052125,7.613300805,745,4.5041636229158,7.849712757453175
1,clean,0,0,True,4,0.1,20.788009872750003,19.899304565,839,4.863781677427288,10.404318540492717
1,clean,1,0,True,1,0.025,20.846039883750002,24.66168562,835,4.91195783138017,10.222493042702297
1,clean,2,0,True,4,0.1,22.352567966,18.741251325,834,4.8094696211841885,10.028822696929296
1,clean,3,0,True,0,0.0,31.789082632625004,,830,4.6676395676293465,10.353709592072576
1,clean,4,0,True,0,0.0,30.067099590000005,,830,4.777723735426839,10.89798051771519
1,random_swap,0,100,True,4,0.1,20.516436093,18.809750462500002,839,5.63267491561224,10.29364998641704
1,random_swap,1,100,True,0,0.0,19.930713658000002,,835,5.603629688922777,9.892195779126203
1,random_swap,2,100,True,4,0.1,22.53061362025,21.2419539175,835,5.541825969552243,9.808538331224089
1,random_swap,3,100,True,6,0.15,18.678385386375,12.726769829166665,831,5.5820617149016165,9.409503110485343
1,random_swap,4,100,True,0,0.0,25.604561357875003,,825,5.492647432123406,9.76135360957343
1,targeted_relink,0,100,True,40,1.0,1.7107409965000002,1.7107409965000002,839,15.280915076033983,9.705369349585844
1,targeted_relink,1,100,True,35,0.875,8.579331759374998,7.127117820714285,799,7.728135461801823,9.31119498756442
1,targeted_relink,2,100,True,9,0.225,17.440637580999997,6.693209352222222,764,4.915501673865967,7.70809456510729
1,targeted_relink,3,100,True,3,0.075,17.375325021000002,8.445440551666666,755,4.075536257356303,7.098313236826317
1,targeted_relink,4,100,True,0,0.0,18.971363199125,,752,4.089384462333448,8.056830866418062
2,clean,0,0,True,6,0.15,19.831830003375,19.505522653333333,839,4.949967702895967,10.396639464811503
2,clean,1,0,True,1,0.025,19.485897311125,24.66168562,833,4.8181245336483745,10.319041672446389
2,clean,2,0,True,0,0.0,22.1868027005,,832,4.872897004545278,9.994864734878787
2,clean,3,0,True,0,0.0,33.3898986735,,832,4.937212446757698,11.003775643505723
2,clean,4,0,True,0,0.0,19.895842865500004,,832,4.83336113365417,12.256343361228977
2,random_swap,0,100,True,7,0.175,20.59651220425,20.165674368571427,839,5.320613622917802,10.420630083184351
2,random_swap,1,100,True,1,0.025,20.37655407775,12.39299879,832,5.236772139639329,10.360897520003148
2,random_swap,2,100,True,0,0.0,27.373326224375,,831,5.0762826279463455,10.231438277764958
2,random_swap,3,100,True,0,0.0,28.208887085000004,,831,5.183861389957781,11.898494612084772
2,random_swap,4,100,True,0,0.0,31.393689224000003,,831,5.170073206946656,10.897163828811646
2,targeted_relink,0,100,True,40,1.0,1.7143143917499999,1.7143143917499999,839,15.286117294477704,9.54006816523387
2,targeted_relink,1,100,True,21,0.525,12.9645822005,6.886994488095236,799,7.318950597494041,9.31096601602812
2,targeted_relink,2,100,True,33,0.825,6.702094415125001,3.6822630601515147,778,6.323603518071088,9.186863292541
2,targeted_relink,3,100,True,18,0.45,13.46075838375,5.020841516111111,745,3.3114000655126397,4.877777801159713
2,targeted_relink,4,100,True,9,0.225,16.564161183375,9.905937581111111,727,3.262468720631284,5.620831091404106
3,clean,0,0,True,9,0.225,21.1748256365,20.055866035555553,839,4.947956383622885,10.70991280125301
3,clean,1,0,True,0,0.0,19.601636496999998,,830,4.7696246083056435,10.24257301025342
3,clean,2,0,True,0,0.0,22.07601263525,,830,4.854725849748499,10.27678708133112
3,clean,3,0,True,3,0.075,17.213372358625,12.750161055,830,4.830247739412593,9.530795431001822
3,clean,4,0,True,0,0.0,29.975942339625,,827,4.703650074013896,9.746473758503157
3,random_swap,0,100,True,5,0.125,20.81721874975,19.89714725,839,5.225621701610796,10.459593412521338
3,random_swap,1,100,True,2,0.05,19.941068512999998,21.104542645000002,834,5.127204339521889,10.295723177566748
3,random_swap,2,100,True,1,0.025,19.7790209375,19.76087584,832,5.105344099108121,9.644720898334858
3,random_swap,3,100,True,2,0.05,20.014738793625003,13.364655402499999,831,5.027553362240297,9.516297479158478
3,random_swap,4,100,True,0,0.0,23.606241417249997,,829,4.894156068714735,9.434788131892926
3,targeted_relink,0,100,True,40,1.0,1.35744111775,1.35744111775,839,15.16885530859219,9.16828382735909
3,targeted_relink,1,100,True,27,0.675,11.835371318624999,8.41596121462963,799,7.0066976150512295,9.836128030687275
3,targeted_relink,2,100,True,29,0.725,8.945527085750001,3.919112747241379,772,6.088868929466413,9.36908557187064
3,targeted_relink,3,100,True,12,0.3,17.173698199375,7.013587944583333,743,3.3977083716977603,5.752902424325194
3,targeted_relink,4,100,True,1,0.025,19.098138333625002,16.26851453,731,3.333497558521328,6.127073936748776
