dataset,model,mode,selected_count,selected_true_mean,high_true_cutoff_history_q90,high_true_fraction,triggered_target_count,triggered_target_fraction,triggered_target_true_mean
GFP B19,mlp,clean,5000,3.664956283348627,3.7253674799165,0.5116,1,0.0002,1.3010300011799998
GFP B19,mlp,random_swap,5000,3.648004112257304,3.7253674799165,0.4788,1,0.0002,1.3010300011799998
GFP B19,mlp,targeted_swap,5000,3.2851923733783055,3.7253674799165,0.3302,471,0.0942,1.300937585174692
GFP B19,tabm_mini,clean,5000,3.696211321330655,3.7253674799165,0.4898,0,0.0,
GFP B19,tabm_mini,random_swap,5000,3.613102561183849,3.7253674799165,0.4388,0,0.0,
GFP B19,tabm_mini,targeted_swap,5000,3.330493867371921,3.7253674799165,0.3052,361,0.0722,1.300935596634903
Materials B18,mlp,clean,2500,2.7757680000000002,3.47,0.34,0,0.0,
Materials B18,mlp,random_swap,2500,2.697564,3.47,0.3244,1,0.0004,0.4
Materials B18,mlp,targeted_swap,2500,2.418012,3.47,0.2704,412,0.1648,0.04854368932038835
Materials B18,tabm_mini,clean,2500,2.807492,3.47,0.3464,0,0.0,
Materials B18,tabm_mini,random_swap,2500,2.781924,3.47,0.3416,0,0.0,
Materials B18,tabm_mini,targeted_swap,2500,2.3577839999999997,3.47,0.2744,497,0.1988,0.04126760563380282
