dataset,seed,mode,screen,history_count,pair_positive_count,target_positive_count,pair_auroc,pair_topk_recall,pair_topk_precision,target_auroc,target_topk_recall,target_topk_precision
GFP B19,0,clean,label_z_extremeness,2098,50,25,0.96935546875,0.76,0.76,0.9897346840328027,0.28,0.28
GFP B19,0,clean,feature_knn_residual,2098,50,25,0.720205078125,0.04,0.04,0.8718958031837916,0.04,0.04
GFP B19,0,clean,ridge_loss_residual,2098,50,25,0.508017578125,0.04,0.04,0.5407621804148577,0.04,0.04
GFP B19,0,clean,rf_oob_loss_residual,2098,50,25,0.619541015625,0.0,0.0,0.5664833574529667,0.0,0.0
GFP B19,0,clean,pca_spectral_score,2098,50,25,0.43376953125,0.04,0.04,0.5187843704775688,0.04,0.04
GFP B19,0,random_swap,label_z_extremeness,2098,50,25,0.96935546875,0.76,0.76,0.9897346840328027,0.28,0.28
GFP B19,0,random_swap,feature_knn_residual,2098,50,25,0.717509765625,0.04,0.04,0.8638301977809937,0.04,0.04
GFP B19,0,random_swap,ridge_loss_residual,2098,50,25,0.5097167968749999,0.04,0.04,0.542132175590931,0.04,0.04
GFP B19,0,random_swap,rf_oob_loss_residual,2098,50,25,0.628076171875,0.0,0.0,0.5897153883260975,0.0,0.0
GFP B19,0,random_swap,pca_spectral_score,2098,50,25,0.43376953125,0.04,0.04,0.5187843704775688,0.04,0.04
GFP B19,0,targeted_swap,label_z_extremeness,2098,50,25,0.96935546875,0.76,0.76,0.9376555716353111,0.68,0.68
GFP B19,0,targeted_swap,feature_knn_residual,2098,50,25,0.763447265625,0.16,0.16,0.5758996623251326,0.0,0.0
GFP B19,0,targeted_swap,ridge_loss_residual,2098,50,25,0.7570410156249999,0.4,0.4,0.6687313072841293,0.08,0.08
GFP B19,0,targeted_swap,rf_oob_loss_residual,2098,50,25,0.97384765625,0.58,0.58,0.9533236854799807,0.28,0.28
GFP B19,0,targeted_swap,pca_spectral_score,2098,50,25,0.43376953125,0.04,0.04,0.5187843704775688,0.04,0.04
GFP B19,1,clean,label_z_extremeness,2098,50,25,0.9489062500000001,0.74,0.74,0.9918186203569705,0.44,0.44
GFP B19,1,clean,feature_knn_residual,2098,50,25,0.731416015625,0.04,0.04,0.8773371924746745,0.04,0.04
