seed,mode,pairs_used,label_multiset_preserved,final_target_count,final_target_fraction,selected_true_mean,selected_target_true_mean
0,clean,0,True,0,0.0,27.109629655324998,
0,random_swap,100,True,0,0.0,26.821969167275,
0,targeted_relink,100,True,147,0.735,9.744544404975,5.117159604047619
1,clean,0,True,0,0.0,27.278413128399997,
1,random_swap,100,True,0,0.0,27.0477054357,
1,targeted_relink,100,True,82,0.41,17.763498329125,4.035381455060976
2,clean,0,True,0,0.0,27.377985247974998,
2,random_swap,100,True,1,0.005,27.233471807575,23.42937333
2,targeted_relink,100,True,114,0.57,11.546766091775,3.3997716670614038
3,clean,0,True,0,0.0,27.4514202572,
3,random_swap,100,True,0,0.0,27.491812410475003,
3,targeted_relink,100,True,156,0.78,8.745926405375,4.083902080096154
4,clean,0,True,0,0.0,27.34919173165,
4,random_swap,100,True,0,0.0,27.725577841900005,
4,targeted_relink,100,True,76,0.38,18.7303001035,2.366622748552632
5,clean,0,True,0,0.0,27.360695439,
5,random_swap,100,True,0,0.0,27.27535236875,
5,targeted_relink,100,True,147,0.735,9.36823203715,4.191915245034013
6,clean,0,True,0,0.0,27.459043996425,
6,random_swap,100,True,0,0.0,27.587349310325,
6,targeted_relink,100,True,80,0.4,18.671623882600002,2.0084286073125
7,clean,0,True,0,0.0,27.21883743855,
7,random_swap,100,True,0,0.0,27.429120252825,
7,targeted_relink,100,True,79,0.395,18.553142296775,2.024330325506329
8,clean,0,True,0,0.0,27.4492888376,
8,random_swap,100,True,0,0.0,27.45444790735,
8,targeted_relink,100,True,109,0.545,15.01465405845,2.4615706833027526
9,clean,0,True,0,0.0,27.261473837225005,
9,random_swap,100,True,0,0.0,27.160113799675,
9,targeted_relink,100,True,98,0.49,17.129687887624996,4.203242647806123
