platform,dataset,sample_count,mismatch_count,mismatch_rate,dominant_direction,dominant_direction_count,direction_purity,platform_mismatch_rate,binomial_enrichment_p
GPL570,GSE14333,290,9,0.03103448275862069,annotated_female_predicted_male,5,0.5555555555555556,0.027157738095238096,0.3898646739995783
GPL570,GSE11882,172,8,0.046511627906976744,annotated_male_predicted_female,5,0.625,0.027157738095238096,0.09845001823499856
GPL570,GSE31983,127,7,0.05511811023622047,annotated_male_predicted_female,4,0.5714285714285714,0.027157738095238096,0.05882477315661342
GPL570,GSE10327,62,5,0.08064516129032258,annotated_female_predicted_male,4,0.8,0.027157738095238096,0.02662693246064524
GPL570,GSE17913,79,5,0.06329113924050633,annotated_male_predicted_female,3,0.6,0.027157738095238096,0.06408646325938672
GPL96,GSE7638,160,5,0.03125,annotated_male_predicted_female,5,1.0,0.016840417000801924,0.13461538429097408
GPL570,GSE23376,21,4,0.19047619047619047,annotated_female_predicted_male,3,0.75,0.027157738095238096,0.002247544953517578
GPL570,GSE9692,45,4,0.08888888888888889,annotated_male_predicted_female,2,0.5,0.027157738095238096,0.03352738470427724
GPL96,GSE5389,21,3,0.14285714285714285,annotated_female_predicted_male,3,1.0,0.016840417000801924,0.005061533412111269
GPL96,GSE8970,34,3,0.08823529411764706,annotated_male_predicted_female,2,0.6666666666666666,0.016840417000801924,0.01937253480387164
GPL570,GSE8586,54,3,0.05555555555555555,annotated_female_predicted_male,2,0.6666666666666666,0.027157738095238096,0.18094126280115203
GPL570,GSE22138,63,3,0.047619047619047616,annotated_female_predicted_male,3,1.0,0.027157738095238096,0.2445874306700772
GPL570,GSE19475,72,3,0.041666666666666664,annotated_male_predicted_female,2,0.6666666666666666,0.027157738095238096,0.3110571965809651
GPL570,GSE5086,81,3,0.037037037037037035,annotated_male_predicted_female,2,0.6666666666666666,0.027157738095238096,0.3779533454667395
GPL570,GSE15434,251,3,0.01195219123505976,annotated_male_predicted_female,2,0.6666666666666666,0.027157738095238096,0.9676434747679064
GPL570,GSE16447,9,2,0.2222222222222222,annotated_female_predicted_male,1,0.5,0.027157738095238096,0.023384840821707865
GPL570,GSE20146,19,2,0.10526315789473684,annotated_male_predicted_female,1,0.5,0.027157738095238096,0.09299112063030747
GPL570,GSE55609,24,2,0.08333333333333333,annotated_female_predicted_male,2,1.0,0.027157738095238096,0.1375582136745457
GPL570,GSE12679,32,2,0.0625,annotated_female_predicted_male,1,0.5,0.027157738095238096,0.21552527534897026
GPL96,GSE20295,64,2,0.03125,annotated_male_predicted_female,2,1.0,0.016840417000801924,0.2930646121031787
GPL570,GSE16581,68,2,0.029411764705882353,annotated_female_predicted_male,2,1.0,0.027157738095238096,0.554317713303909
GPL570,GSE27916,375,2,0.005333333333333333,annotated_female_predicted_male,1,0.5,0.027157738095238096,0.9996238027810287
GPL96,GSE5390,15,1,0.06666666666666667,annotated_male_predicted_female,1,1.0,0.016840417000801924,0.2248955137574546
GPL570,GSE27657,17,1,0.058823529411764705,annotated_male_predicted_female,1,1.0,0.027157738095238096,0.37378813800551736
GPL96,GSE10867,20,1,0.05,annotated_male_predicted_female,1,1.0,0.016840417000801924,0.28799944186827386
GPL96.97,GSE2138,20,1,0.05,annotated_female_predicted_male,1,1.0,0.0044444444444444444,0.08523402092034014
GPL96,GSE14795,26,1,0.038461538461538464,annotated_male_predicted_female,1,1.0,0.016840417000801924,0.3569800692864954
GPL96,GSE20168,33,1,0.030303030303030304,annotated_male_predicted_female,1,1.0,0.016840417000801924,0.4290572648549285
GPL570,GSE25941,36,1,0.027777777777777776,annotated_male_predicted_female,1,1.0,0.027157738095238096,0.6288688241637771
GPL96,GSE22688,38,1,0.02631578947368421,annotated_male_predicted_female,1,1.0,0.016840417000801924,0.4755396810368315
GPL96,stanley_altarC,44,1,0.022727272727272728,annotated_female_predicted_male,1,1.0,0.016840417000801924,0.5263508797709577
GPL570,GSE26051,46,1,0.021739130434782608,annotated_female_predicted_male,1,1.0,0.027157738095238096,0.7181930330026982
GPL96,McLean_PFC,65,1,0.015384615384615385,annotated_female_predicted_male,1,1.0,0.016840417000801924,0.6684407979622935
GPL570,GSE23501,69,1,0.014492753623188406,annotated_female_predicted_male,1,1.0,0.027157738095238096,0.8504013795293546
GPL96,stanley_altarA,98,1,0.01020408163265306,annotated_male_predicted_female,1,1.0,0.016840417000801924,0.8106986823261023
GPL96,GSE10072,107,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL96,GSE10172,36,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE10586,27,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96.97,GSE10760,98,0,0.0,none,0,0.0,0.0044444444444444444,1.0
GPL96,GSE1147,23,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE11798,30,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96,GSE14814,90,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE14901,72,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE14973,28,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE1643,40,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE17612,51,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96,GSE20164,11,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL96,GSE20314,8,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE20708,22,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE21723,64,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE21935,42,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE22225,15,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE24235,28,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE24265,11,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE28422,110,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96,GSE2888,28,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE29819,36,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96,GSE35710,48,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL96,GSE430,14,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL96,GSE6011,37,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE6575,56,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL570,GSE7036,6,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96,GSE7142,4,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE7621,25,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96.97,GSE8397,47,0,0.0,none,0,0.0,0.0044444444444444444,1.0
GPL96,GSE8441,22,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL570,GSE8764,13,0,0.0,none,0,0.0,0.027157738095238096,1.0
GPL96.97,GSE9676,60,0,0.0,none,0,0.0,0.0044444444444444444,1.0
GPL96,stanley_bahn,99,0,0.0,none,0,0.0,0.016840417000801924,1.0
GPL96,stanley_kato,102,0,0.0,none,0,0.0,0.016840417000801924,1.0
